obj_id,score,class
423,-0.11346207155008625,AGN
424,-0.14622246265052902,SNIIn
425,-0.08837440816568154,SNIc
426,-0.07816603262171545,SNIc
427,-0.030205197858570842,SNIa-91bg
428,-0.08653361746081012,SNIIn
429,-0.0874533392771969,SNIc-BL
430,-0.06598802651525276,SNIax
431,-0.11822704390775501,SNII
432,-0.12168946606520836,SNIa-91bg
433,-0.1259182863234068,SNIc
434,-0.12224101859675574,SNIc-BL
435,-0.06035118973042802,SNIax
436,-0.10915883712592922,AGN
437,-0.09635159473895849,SNII
438,-0.11833225642129835,SNIa-91bg
439,-0.030555406262024465,SNIa-91bg
440,-0.09589766578995151,SNIax
441,-0.13505740628565294,SNIIn
442,-0.12984919624176172,AGN
443,-0.10534884601033856,TDE
444,-0.12724389256017055,SNIc-BL
445,-0.11912204017622918,SNIIn
446,-0.08726172157378193,SNIb
447,-0.12120873985281172,SNIax
448,-0.11208220426657528,SNII
449,-0.07685664481273824,SNIc
450,-0.10406770669184756,SNIax
451,-0.07172371295434221,SNIc-BL
452,-0.16486595269685633,SNII
453,-0.07018911245564724,SNIb
454,-0.12400419200379392,SNIIn
455,-0.1451772959386034,SNIc-BL
456,-0.13518452802425013,SNII
457,-0.10633654529741299,SNIc
458,-0.06782824061758258,SNIb
459,-0.14646016882463408,SNIIn
460,-0.13860305853347127,SNIIn
461,-0.08532154967109784,SNIc-BL
462,-0.11612842123704609,SNIc
463,-0.034633502859555576,SNIIb
464,-0.11076409788842634,SNIIn
465,-0.0756336397170761,SNII
466,-0.1261139384095421,AGN
467,-0.13725369219404648,SNIax
468,-0.08703682165638621,SNIb
469,-0.09977545919286396,SNIa-91bg
470,-0.140826804859137,SNII
471,-0.07676067814148102,SNIb
472,-0.10189640093677133,SNII
473,-0.05267822075770545,SNIa
474,-0.10718780003325357,SNII
475,-0.11850433292299228,SNII
476,-0.08624050781422066,TDE
477,-0.07858105516740838,SNIIn
478,-0.06194053133395455,SNIc-BL
479,-0.08852761275095988,SNIb
480,-0.0919196960635667,SNIb
481,-0.07385715233069307,AGN
482,-0.10882086438614558,SNIa
483,-0.1423035123985118,AGN
484,-0.0565661606174801,SNIax
485,-0.06151135756914289,SNIc
486,-0.12692373634929238,SNII
487,0.03642464061736794,SNIc-BL
488,-0.07081640586738552,SNIa
